# ra,dec
04:26:40.8,+29:44:24
06:50:57.6,+29:45:36
23:06:00.0,+30:00:00
20:44:28.6,+27:48:36
15:24:50.4,+27:48:36
23:30:48.0,+27:48:36
12:33:00.0,+27:53:24
16:27:52.8,+28:01:48
00:28:31.2,+28:03:36
12:55:36.0,+28:06:00
03:57:26.4,+28:07:48
19:23:55.2,+53:06:36
01:03:33.6,+53:08:24
13:50:12.0,+53:15:36
08:12:48.0,+53:25:48
01:25:40.8,+53:26:24
14:21:43.2,+53:31:48
06:35:43.2,+53:34:12
14:07:50.4,+53:49:12
03:25:02.4,+51:04:12
13:56:00.0,+51:06:00
07:05:28.8,+51:08:24
20:18:33.4,+51:13:23
10:47:36.0,+51:18:00
08:38:24.0,+51:48:00
14:26:31.2,+51:58:48
07:47:03.6,+52:01:30
15:44:07.2,+52:11:24
07:38:48.0,+50:12:36
08:11:26.4,+50:18:00
17:25:14.4,+50:22:48
07:26:26.4,+50:25:12
18:28:55.2,+50:48:00
12:06:24.0,+50:55:48
09:40:24.0,+50:58:12
11:42:55.2,+50:58:48
02:55:26.4,+48:10:12
16:42:12.0,+48:13:12
02:04:16.8,+48:16:48
13:23:08.4,+48:17:53
15:16:21.6,+48:24:00
07:38:42.0,+48:24:50
10:55:04.8,+48:28:12
03:59:12.0,+48:31:12
20:11:43.2,+48:39:54
10:23:45.6,+47:01:48
15:27:57.6,+47:10:12
04:28:24.0,+47:12:00
10:50:48.0,+47:18:00
00:01:50.4,+47:20:24
10:25:12.0,+47:24:36
06:37:48.0,+47:27:36
23:42:41.0,+47:28:41
03:12:35.3,+46:35:42
22:45:19.2,+46:36:36
16:07:12.0,+46:42:00
13:44:50.4,+46:46:12
17:01:52.1,+46:46:49
21:59:45.6,+46:49:48
17:00:38.4,+46:53:24
08:56:47.0,+46:59:53
03:34:07.2,+44:10:12
09:38:00.7,+44:16:17
14:38:00.0,+44:24:00
23:09:55.2,+44:32:24
21:51:19.2,+44:35:24
08:39:55.2,+44:39:00
08:58:50.4,+44:52:48
18:36:33.6,+44:55:48
22:08:00.0,+43:12:00
03:49:50.4,+43:12:36
04:11:07.2,+43:15:00
00:31:09.6,+43:21:00
19:31:55.2,+43:24:00
08:53:55.2,+43:28:48
03:08:45.6,+43:33:36
23:12:26.4,+43:34:12
04:39:12.0,+41:52:48
07:02:33.6,+41:55:12
19:56:31.2,+42:02:24
16:05:50.4,+42:03:36
10:56:50.4,+42:04:48
21:00:57.6,+42:16:12
16:30:52.8,+42:18:36
20:24:09.6,+42:18:36
16:47:16.8,+41:02:24
17:20:48.0,+41:08:13
14:59:36.0,+41:12:00
04:48:40.8,+41:16:48
07:53:40.8,+41:20:24
19:53:52.8,+41:25:48
16:14:26.4,+41:30:36
04:30:48.0,+41:51:00
02:50:36.0,+75:40:48
22:41:12.0,+75:48:00
05:09:14.4,+75:51:00
07:58:23.8,+75:51:22
20:40:24.0,+76:00:00
13:32:55.2,+76:21:00
23:57:33.6,+76:45:00
19:20:07.9,+76:57:23
19:37:57.6,+71:54:36
03:47:48.0,+72:11:24
19:44:55.2,+72:16:48
11:20:26.4,+72:21:36
