#GRB	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
060929	0.42	0.13
060927	2.70	0.17
060926	1.09	0.14
060923C	0.96	0.36
060923B	1.52	0.33
060923A	1.32	0.26
060919	2.12	0.30
060912A	8.58	0.44
060908	3.03	0.25
060906	1.97	0.28
060904B	2.44	0.21
060904A	4.87	0.20
060825	2.66	0.17
060814	7.27	0.29
060813	8.84	0.39
060807	0.83	0.16
060805A	0.34	0.11
060804	1.13	0.29
060729	1.17	0.13
060728	n/a	n/a
060719	2.16	0.20
060717	0.54	0.11
060714	1.28	0.13
060712	1.64	0.60
060708	1.94	0.14
060707	1.01	0.23
060614	11.50	0.74
060607B	1.46	0.25
060607A	1.40	0.13
060605	0.46	0.12
060604	0.34	0.13
060602A	0.56	0.20
060526	1.67	0.18
060522	0.55	0.15
060516	0.34	0.23
060515	0.82	0.20
060512	0.88	0.20
060510B	0.57	0.11
060510A	14.70	1.13
060507	1.27	0.22
060505	2.65	0.63
060502A	1.69	0.21
060501	1.98	0.26
060428B	0.66	0.15
060428A	2.28	0.20
060427	0.27	0.13
060424	1.61	0.19
060421	2.94	0.18
060418	6.52	0.35
060413	0.93	0.12
060403	0.95	0.13
060323	0.78	0.15
060322	2.08	0.20
060319	1.09	0.14
060312	1.53	0.14
060306	5.97	0.35
060223B	2.87	0.20
060223A	1.35	0.18
060219	0.56	0.17
060218	0.25	0.11
060211B	0.73	0.13
060211A	0.42	0.12
060210	2.72	0.28
060206	2.79	0.17
060204B	1.35	0.15
060203	0.60	0.19
060202	0.51	0.17
060124	0.89	0.18
060123	0.04	0.00
060117	48.30	1.56
060116	1.11	0.32
060115	0.87	0.12
060111B	1.40	0.27
060111A	1.71	0.15
060110	1.89	0.16
060109	0.47	0.12
060108	0.77	0.12
060105	7.44	0.36
060102	0.38	0.12
051227	0.95	0.12
051221B	0.54	0.20
051213	0.48	0.14
051117B	0.49	0.14
051117A	0.95	0.16
051114	0.70	0.15
051113	2.25	0.32
051111	2.66	0.21
051109B	0.55	0.13
051109A	3.94	0.69
051021B	0.80	0.14
051016B	1.30	0.16
051016A	1.39	0.38
051012	0.53	0.13
051008	5.44	0.35
051006	1.62	0.30
051001	0.49	0.11
050922C	7.26	0.32
050922B	1.01	0.36
050916	0.65	0.23
050915B	2.31	0.21
050915A	0.77	0.14
050911	1.33	0.20
050908	0.70	0.14
050904	0.62	0.17
050827	1.84	0.20
050826	0.38	0.13
050824	0.50	0.15
050822	2.24	0.22
050820B	3.95	0.18
050820A	2.45	0.23
050819	0.38	0.12
050815	0.55	0.12
050814	0.71	0.25
050803	0.96	0.11
050802	2.75	0.44
050801	1.46	0.14
050730	0.55	0.14
050726	1.38	0.38
050724	3.26	0.30
050721	2.24	0.46
050717	6.23	0.31
050716	2.18	0.35
050715	1.05	0.14
050714B	0.52	0.22
050713B	1.60	0.50
050713A	4.67	0.33
050712	0.55	0.18
050701	2.74	0.18
050607	0.95	0.14
050603	21.50	1.07
050528	1.18	0.30
050525A	41.70	0.94
050509A	0.90	0.12
050507	0.29	0.13
050505	1.85	0.31
050502B	1.42	0.13
050422	0.57	0.11
050421	0.26	0.19
050418	3.68	0.28
050416B	5.93	0.61
050416A	4.88	0.48
050412	0.48	0.05
050410	1.80	0.36
050406	0.36	0.10
050401	10.70	0.92
050326	12.20	0.39
050319	1.52	0.21
050318	3.16	0.20
050315	1.93	0.22
050306	3.58	0.48
050223	0.69	0.16
050219B	24.80	1.53
050219A	3.53	0.35
050215B	0.67	0.12
050215A	0.49	0.13
050128	7.42	0.73
050126	0.71	0.17
050124	5.46	0.38
050117	2.35	0.17
041228	1.61	0.25
041226	0.35	0.05
041224	2.94	0.30
041223	7.35	0.32
041220	1.81	0.14
041219C	2.45	0.25
041219B	n/a	n/a
041219A	n/a	n/a
041217	6.86	0.52
