#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
100418A	7.0	3.4	0.5	1.0	0.2	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
100413A	191	62	2	0.7	0.1	3.9 (Swift-XRT: tentative)
100316D	n/a	3.0	0.8	0.1	0.0	0.014
100316B	3.8	2.0	0.2	1.3	0.1	1.180 (VLT: absorption)
100302A	17.9	3.1	0.4	0.5	0.1	4.813 (Gemini-North: absorption)
100219A	18.8	3.7	0.6	0.4	0.1	4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	14.9	33	2	15.2	1.0	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	7.1	90	3	46.5	2.7	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	48	16	2	1.3	0.4	3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	39.2	24	1	1.8	0.1	2.752 (Gemini-South: absorption)
091024	109.8	61	3	2.0	0.3	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	34.6	37	1	4.2	0.3	1.71 (NOT)
091018	4.4	14	1	10.3	0.4	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	2.2	2.0	0.3	2.0	0.2	1.37 (VLT: absorption)
090926B	109.7	73	2	3.2	0.3	1.24 (VLT: emission & absorption)
090814A	80	13	2	0.6	0.2	#0.696 < z < 2.2 (VLT: absorption)
090812	66.7	58	2	3.6	0.2	2.452 (VLT: absorption)
090809	5.4	3.4	0.5	1.1	0.2	2.737 (VLT)
090726	67.0	8.6	1.0	0.7	0.2	2.71 (SAO RAS: absoption)
090715B	266	57	2	3.8	0.2	3.00 (WHT)
090618	113.2	1050	10	38.9	0.8	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
090530	48	11	1	2.5	0.3	1.266 (VLT)
090529	>100	6.8	1.7	0.4	0.1	2.625 (VLT: absorption)
090519	64	12	1	0.6	0.2	3.85 (VLT: absorption)
090516A	210	90	6	1.6	0.2	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	0.3	3.4	0.4	9.7	1.1	0.903 (VLT: emission)
090426	1.2	1.8	0.3	2.4	0.3	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	48	210	0.0	71.0	2.0	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	10.3	5.9	0.4	1.7	0.2	8.0 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	56	46	2	1.9	0.3	1.608 (Lick: absorption)
090407	310	11	2	0.6	0.1	1.4485 (TOUGH: emission)
090313	79	14	2	0.8	0.3	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	8.8	1.9	0.3	0.5	0.1	4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	9.1	7.6	0.4	2.5	0.2	1.7493 (TOUGH: emission)
090102	27.0	0.68	0.03	5.5	0.8	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
081222	24	48	1	7.7	0.2	2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	34	181	3	18.2	0.5	2.26 (Salvaterra)
081203A	294	77	3	2.9	0.2	2.1 (UVOT: absorption)
081121	14	41	3	4.4	1.0	2.512 (Magellan/Clay: aborption)
081118	67	12	1	0.6	0.2	2.58 (VLT: absorption)
081029	270	21	2	0.5	0.2	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	260	37	2	0.5	0.1	3.038 (Magellan/Clay: absorption)
081008	185.5	43	2	1.3	0.1	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	10.0	7.1	0.8	2.6	0.4	0.5295 (Gemini-South: absorption)
080928	280	25	2	2.1	0.1	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	60	40	1	2.7	0.2	0.689 (VLT: absorption and emission)
080913	8	5.6	0.6	1.4	0.2	6.44 (ESO/MPI: photometric)|6.7 (VLT)
080906	147	35	2	1.0	0.2	2.0 (UVOT: photometric)
080905B	128	18	2	0.5	0.1	2.374 (VLT: absorption)
080905A	1.0	1.4	0.2	1.3	0.2	0.1218 (emission from host)
080810	106	46	2	2.0	0.2	3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	78	25	1	1.1	0.1	1.505 (VLT: absorption)
080804	34	36	2	3.1	0.4	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	16.2	120	10	20.9	1.8	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	120	14	2	1.0	0.2	0.845 (Gemini-South: absorption)
080707	27.1	5.2	0.6	1.0	0.1	1.23 (VLT: absorption)
080607	79	240	0.0	23.1	1.1	3.036 (Keck I)
080605	20	133	2	19.9	0.6	1.6398 (VLT: absorption)
080604	82	8.0	0.9	0.4	0.1	1.416 (Gemini-North: absorption)
080603B	60	24	1	3.5	0.2	2.69 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	2.8	0.55	0.17	0.5	0.1	1.545 (VLT: emission)
080516	5.8	2.6	0.4	1.8	0.3	3.2 (MPI/ESO: photometric)
080430	16.2	12	1	2.6	0.2	0.767 (Hobby-Eberly: absorption)
080413B	8.0	32	1	18.7	0.8	1.10 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	46	35	1	5.6	0.2	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	56	264	1	43.2	0.9	1.03 (VLT: absorption)
080330	61	3.4	0.8	0.9	0.2	1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	34	36	1	5.2	0.3	1.95 (Gemini-North: absorption)
080319B	>50	810	10	24.8	0.5	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	365	23	2	1.3	0.2	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	45	18	1	1.6	0.2	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	340	61	2	1.0	0.3	2.0858 (TOUGH: emission)
071227	1.8	2.2	0.3	1.6	0.2	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	68.7	5.8	1.1	0.4	0.2	1.14 (Gemini North: absorption)
071117	6.6	24	1	11.3	0.4	1.331 (VLT: emission)
071112C	15	30	4	8	1	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	180	9.0	1.3	0.5	0.1	2.692 (VLT)
071028B	55	2.5	0.8	1.4	0.5	0.94 (Paranal: host, photometric)
071021	225	13	2	0.7	0.1	2.4520 (TOUGH: emission)
071020	4.2	23	1	8.4	0.3	2.142 (BTA: absorption)
071010B	>35.7	44	1	7.7	0.3	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	6	2.0	0.4	0.8	0.3	0.98 (Keck I: absorption)
071003	150	83	3	6.3	0.4	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
070810A	11.0	6.9	0.6	1.9	0.2	2.17 (Keck I: absorption)
070802	16.4	2.8	0.5	0.4	0.1	2.45 (VLT)
070724A	0.4	0.3	0.07	1.0	0.2	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
070721B	340	36	2	1.5	0.3	3.626 (VLT)
070714B	64	7.2	0.9	2.7	0.2	0.92 (Gemini: emission, from host)
070612A	368.800	106.00	6.01	1.51	0.38	0.617 (Gemini North: emission)
070611	12.200	3.91	0.57	0.82	0.21	2.04 (VLT)
070529	109.200	25.70	2.45	1.43	0.36	2.4996 (Gemini North: absorption)
